Code;Name;City;Country
FRA;Frankfurt Airport;Frankfurt;Germany
LHR;Heathrow Airport;London;United Kingdom
JFK;John F. Kennedy International Airport;New York;USA
DXB;Dubai International Airport;Dubai;UAE
SFO;San Francisco International Airport;San Francisco;USA
LAX;Los Angeles International Airport;Los Angeles;USA
MUC;Munich Airport;Munich;Germany
CDG;Charles de Gaulle Airport;Paris;France
AMS;Amsterdam Airport Schiphol;Amsterdam;Netherlands
ZRH;Zurich Airport;Zurich;Switzerland
ATL;Hartsfield-Jackson Atlanta;Atlanta;USA
HND;Tokyo Haneda Airport;Tokyo;Japan
ORD;O'Hare International Airport;Chicago;USA
DFW;Dallas/Fort Worth International;Dallas;USA
DEN;Denver International Airport;Denver;USA
IST;Istanbul Airport;Istanbul;Turkey
PEK;Beijing Capital International;Beijing;China
CAN;Guangzhou Baiyun International;Guangzhou;China
PVG;Shanghai Pudong International;Shanghai;China
